,city,country,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
151,Lompoc,US,34.64,-120.46,292.15,72.0,0.0,7.2
152,Yatou,CN,37.15,122.38,300.42,79.0,0.0,3.91
153,Tiksi,RU,71.69,128.87,279.0,87.0,100.0,2.55
154,Bismarck,US,46.81,-100.78,303.15,42.0,1.0,5.7
155,Avera,US,33.19,-82.53,300.15,78.0,40.0,3.1
156,Dikson,RU,73.51,80.55,285.36,69.0,100.0,5.34
157,Vila franca do campo,PT,37.72,-25.43,293.15,77.0,20.0,3.6
158,Sitka,US,57.05,-135.33,291.15,68.0,40.0,2.6
159,Esperance,AU,-33.87,121.9,283.15,100.0,5.0,2.6
160,Zhanakorgan,KZ,43.91,67.25,297.29,31.0,29.0,5.26
161,Saint george,US,37.1,-113.58,315.15,8.0,1.0,7.2
162,Torbay,CA,47.67,-52.73,289.26,100.0,90.0,1.0
163,Corinto,GR,37.94,22.96,302.59,38.0,0.0,1.34
164,Baiquan,CN,47.58,126.08,297.95,80.0,98.0,5.45
165,Alofi,NU,-19.06,-169.92,297.15,60.0,40.0,6.2
166,Sao geraldo do araguaia,BR,-6.4,-48.55,299.38,42.0,82.0,1.29
167,Cabo san lucas,MX,22.89,-109.91,306.15,54.0,5.0,5.7
168,Yeppoon,AU,-23.13,150.73,294.15,46.0,40.0,6.2
169,Carnarvon,AU,-24.87,113.63,290.15,88.0,0.0,5.1
170,Thinadhoo,MV,0.53,72.93,301.4,77.0,98.0,4.16
171,Durango,MX,24.83,-104.83,295.12,62.0,97.0,2.69
172,Jalu,LY,29.03,21.55,299.07,46.0,0.0,4.47
173,Castro,BR,-24.79,-50.01,282.23,90.0,62.0,3.99
174,Akropong,GH,5.97,-0.09,292.67,98.0,52.0,2.0
175,Cherskiy,RU,68.75,161.3,282.7,66.0,90.0,3.86
176,Vardo,NO,70.37,31.11,283.85,91.0,100.0,5.69
177,Aksay,RU,47.26,39.87,291.15,59.0,1.0,2.0
178,Sooke,CA,48.37,-123.73,301.48,63.0,5.0,2.6
179,Faanui,PF,-16.48,-151.75,299.25,79.0,8.0,4.63
180,Alta floresta,BR,-9.88,-56.09,296.2,37.0,0.0,1.56
181,Nanortalik,GL,60.14,-45.24,279.72,87.0,100.0,3.0
182,Ribeira grande,PT,38.52,-28.7,294.33,74.0,13.0,5.34
183,Khuzdar,PK,27.74,66.64,301.11,52.0,0.0,1.04
184,Bandar,ID,2.05,99.75,298.34,78.0,79.0,0.51
185,Olden,NO,61.84,6.81,287.04,92.0,67.0,0.16
